,lead_number,lead_origin,lead_source,do_not_email,converted,totalvisits,ttime_on_site,pg_view_pv,last_activity,country,specialization,curr_occupation,reason_behind_course,tags,city,avail_free_copy
0,660737,API,Olark Chat,0,0,0.0,0.0,0.0,Page Visited on Website,India,,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
1,660728,API,Organic Search,0,0,5.0,674.0,2.5,Email Opened,India,,Unemployed,Better Career Prospects,Ringing,Mumbai,0
2,660727,Landing Page Submission,Direct Traffic,0,1,2.0,1532.0,2.0,Email Opened,India,Business Administration,Student,Better Career Prospects,Will revert after reading the email,Mumbai,1
3,660719,Landing Page Submission,Direct Traffic,0,0,1.0,305.0,1.0,Unreachable,India,Media and Advertising,Unemployed,Better Career Prospects,Ringing,Mumbai,0
4,660681,Landing Page Submission,Google,0,1,2.0,1428.0,1.0,Converted to Lead,India,,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
5,660680,API,Olark Chat,0,0,0.0,0.0,0.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,,Mumbai,0
6,660673,Landing Page Submission,Google,0,1,2.0,1640.0,2.0,Email Opened,India,Supply Chain Management,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
7,660664,API,Olark Chat,0,0,0.0,0.0,0.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,,Mumbai,0
8,660624,Landing Page Submission,Direct Traffic,0,0,2.0,71.0,2.0,Email Opened,India,IT Projects Management,Unemployed,Better Career Prospects,,Thane & Outskirts,1
9,660616,API,Google,0,0,4.0,58.0,4.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,,Mumbai,0
10,660608,Landing Page Submission,Organic Search,0,1,8.0,1351.0,6.0,Email Opened,India,Travel and Tourism,Unemployed,Better Career Prospects,Will revert after reading the email,Other Metro Cities,1
11,660570,Landing Page Submission,Direct Traffic,0,1,8.0,1343.0,2.67,Page Visited on Website,India,Human Resource Management,Unemployed,Better Career Prospects,Lost to EINS,Thane & Outskirts,1
12,660562,API,Organic Search,0,1,11.0,1538.0,6.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
13,660558,Landing Page Submission,Organic Search,0,0,5.0,170.0,5.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,Ringing,Thane & Outskirts,1
14,660553,Landing Page Submission,Direct Traffic,1,0,1.0,481.0,1.0,Email Bounced,Russia,Business Administration,Unemployed,Better Career Prospects,,Mumbai,0
15,660547,API,Organic Search,0,1,6.0,1012.0,6.0,Email Opened,India,,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
16,660540,API,Olark Chat,0,0,0.0,0.0,0.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,,Mumbai,0
17,660534,API,Referral Sites,0,0,6.0,973.0,6.0,Email Link Clicked,India,,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
18,660522,Landing Page Submission,Google,0,1,6.0,1688.0,3.0,Page Visited on Website,India,Marketing Management,Unemployed,Better Career Prospects,,Mumbai,0
19,660509,API,Organic Search,0,0,3.0,98.0,3.0,Page Visited on Website,India,,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
20,660479,Landing Page Submission,Google,0,0,1.0,233.0,1.0,Unreachable,India,Media and Advertising,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
21,660478,API,Google,0,0,4.0,377.0,1.33,Page Visited on Website,India,,Unemployed,Better Career Prospects,In confusion whether part time or DLP,Mumbai,0
22,660471,Landing Page Submission,Google,0,1,1.0,1013.0,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
23,660461,Landing Page Submission,Google,0,0,4.0,771.0,4.0,Email Link Clicked,India,Finance Management,Unemployed,Better Career Prospects,Ringing,Mumbai,0
24,660458,API,Google,0,1,6.0,1137.0,1.5,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,1
25,660447,Landing Page Submission,Google,0,1,3.0,1068.0,3.0,Form Submitted on Website,India,Travel and Tourism,Unemployed,Better Career Prospects,Busy,Mumbai,0
26,660432,Landing Page Submission,Organic Search,0,1,4.0,1000.0,2.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities,1
