,converted,lead_number,pg_view_pv,totalvisits,ttime_on_site,lead_source,last_activity,country,specialization,curr_occupation,tags,city,avail_free_copy_1,do_not_email_1,lead_origin_Landing Page Submission,lead_origin_Lead Add Form,lead_origin_Lead Import,lead_origin_Quick Add Form,reason_behind_course_Flexibility & Convenience,reason_behind_course_Other
0,0,660737,0.0,0.0,0.0,6,10,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,660728,2.5,5.0,674.0,7,5,12,18,4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,660727,2.0,2.0,1532.0,1,5,12,1,3,19,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,0,660719,1.0,1.0,305.0,1,13,12,11,4,14,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,660681,1.0,2.0,1428.0,3,1,12,18,4,19,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0,660680,0.0,0.0,0.0,6,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,660673,2.0,2.0,1640.0,3,5,12,16,4,19,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,0,660664,0.0,0.0,0.0,6,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,660624,2.0,2.0,71.0,1,5,12,8,4,26,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,0,660616,4.0,4.0,58.0,3,5,12,4,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,660608,6.0,8.0,1351.0,7,5,12,17,4,19,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,1,660570,2.67,8.0,1343.0,1,10,12,7,4,10,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,1,660562,6.0,11.0,1538.0,7,5,12,10,4,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,660558,5.0,5.0,170.0,7,5,12,1,4,14,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,0,660553,1.0,1.0,481.0,1,2,24,1,4,26,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15,1,660547,6.0,6.0,1012.0,7,5,12,18,4,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,660540,0.0,0.0,0.0,6,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,660534,6.0,6.0,973.0,11,3,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1,660522,3.0,6.0,1688.0,3,10,12,10,4,26,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,0,660509,3.0,3.0,98.0,7,10,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,660479,1.0,1.0,233.0,3,13,12,11,4,8,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,0,660478,1.33,4.0,377.0,3,10,12,18,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,660471,1.0,1.0,1013.0,3,1,12,0,4,19,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,0,660461,4.0,4.0,771.0,3,3,12,4,4,14,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,1,660458,1.5,6.0,1137.0,3,5,12,10,4,19,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1,660447,3.0,3.0,1068.0,3,7,12,17,4,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,1,660432,2.0,4.0,1000.0,7,5,12,4,4,19,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,1,660424,6.0,6.0,1315.0,3,5,12,11,4,19,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,0,660423,5.0,5.0,182.0,1,5,12,18,3,24,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,660410,3.0,3.0,78.0,3,13,12,9,4,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,660402,3.5,7.0,1174.0,1,5,12,7,4,19,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
